,max_population,mutation_rate,ngen,avg_fitness,success_rate,avg_evaluations_to_solve,avg_execution_time,avg_memory_usage
12,100,0.05,250,1.0,1.0,1.16,0.15985520601272582,19.175390625
14,100,0.2,250,1.0,1.0,1.06,0.15148598909378053,17.75859375
13,100,0.1,250,1.0,1.0,1.05,0.14936267375946044,17.824296875
15,100,0.5,250,1.0,1.0,0.87,0.14014586687088013,17.192578125
4,25,0.05,250,1.0,1.0,12.38,0.0619583535194397,3.908984375
8,50,0.05,250,1.0,1.0,2.04,0.05629633903503418,7.720546875
9,50,0.1,250,1.0,1.0,2.09,0.05556213617324829,7.6046875
10,50,0.2,250,1.0,1.0,1.84,0.05321481704711914,7.406484375
0,10,0.05,250,0.986,0.95,48.14736842105263,0.05199324131011963,2.32109375
11,50,0.5,250,1.0,1.0,1.8,0.04962084531784058,7.579375
6,25,0.2,250,1.0,1.0,5.67,0.032687852382659914,3.880546875
1,10,0.1,250,1.0,1.0,27.17,0.024110941886901854,2.29765625
5,25,0.1,250,1.0,1.0,3.82,0.023860671520233155,3.823671875
7,25,0.5,250,1.0,1.0,3.81,0.023044705390930176,3.837890625
2,10,0.2,250,1.0,1.0,20.83,0.02101412296295166,2.28703125
3,10,0.5,250,1.0,1.0,8.97,0.009218213558197021,2.27421875
