,weights,success_tries
0,[-1.         -4.09090454  2.66599173],101
1,[-1.         -4.00363779  2.70601969],93
2,[-1.         -4.16957172  2.60044254],93
3,[-1.         -3.64551325  2.44003568],81
4,[-1.         -4.31554151  2.76147452],107
5,[-1.         -3.64551325  2.44003568],81
6,[-1.         -4.09090454  2.66599173],101
7,[-1.         -3.80537687  2.56926576],93
8,[-1.         -3.67811482  2.57284288],95
9,[-1.         -4.36759556  2.82081263],113
10,[-1.         -3.80537687  2.56926576],93
11,[-1.         -4.07493654  2.64424075],99
12,[-1.         -4.16957172  2.60044254],93
13,[-1.         -3.7032354   2.56706952],93
14,[-1.         -4.31554151  2.76147452],107
15,[-1.         -3.73735482  2.48817668],85
16,[-1.         -3.64551325  2.44003568],81
17,[-1.         -3.79728068  2.64807433],89
18,[-1.         -3.84604197  2.61759989],101
19,[-1.         -4.20773195  2.69158255],101
20,[-1.         -3.84502964  2.54129183],89
21,[-1.         -4.07493654  2.64424075],99
22,[-1.         -3.79507697  2.61521051],97
23,[-1.         -3.73735482  2.48817668],85
24,[-1.         -3.99854563  2.92377413],93
25,[-1.         -4.31554151  2.76147452],107
26,[-1.         -4.20773195  2.69158255],101
27,[-1.         -3.96199179  2.58365947],91
28,[-1.         -3.73735482  2.48817668],85
29,[-1.         -3.75273292  2.63473067],89
30,[-1.         -3.88199849  2.67587607],117
31,[-1.         -3.75273292  2.63473067],89
32,[-1.         -3.75273292  2.63473067],89
33,[-1.         -3.79728068  2.64807433],89
34,[-1.         -3.75552653  2.54279147],79
35,[-1.         -3.8314001   2.56918149],81
36,[-1.         -4.12379484  2.7496656 ],105
37,[-1.         -3.64910717  2.45417854],83
38,[-1.         -3.98801502  2.58357519],79
39,[-1.         -3.69075317  2.57653876],85
40,[-1.         -3.75552653  2.54279147],79
41,[-1.         -4.29957352  2.73972354],105
42,[-1.         -4.07493654  2.64424075],99
43,[-1.         -3.73735482  2.48817668],85
44,[-1.         -4.00164456  2.55568554],87
45,[-1.         -4.29957352  2.73972354],105
46,[-1.         -4.27355029  2.73980782],117
47,[-1.         -4.16898182  2.72524557],95
48,[-1.         -4.31554151  2.76147452],107
49,[-1.         -4.31554151  2.76147452],107
50,[-1.         -3.73735482  2.48817668],85
51,[-1.         -4.07493654  2.64424075],99
52,[-1.         -3.67811482  2.57284288],95
53,[-1.         -3.75552653  2.54279147],79
54,[-1.         -3.54811302  2.43356188],83
55,[-1.         -4.05471095  2.6913317 ],105
56,[-1.         -4.29957352  2.73972354],105
57,[-1.         -4.20773195  2.69158255],101
58,[-1.         -3.90275179  2.66832567],101
59,[-1.         -3.64551325  2.44003568],81
60,[-1.         -4.15892659  2.74708081],109
61,[-1.         -4.30177723  2.77258736],97
62,[-1.         -4.36759556  2.82081263],113
63,[-1.         -4.22369995  2.71333352],103
64,[-1.         -3.8314001   2.56918149],81
65,[-1.         -4.31554151  2.76147452],107
66,[-1.         -4.16957172  2.60044254],93
67,[-1.         -3.99099943  2.7023238 ],103
68,[-1.         -3.87015022  2.53551847],87
69,[-1.         -3.98801502  2.58357519],79
70,[-1.         -3.69075317  2.57653876],85
71,[-1.         -4.06966661  2.63677462],95
72,[-1.         -3.96199179  2.58365947],91
73,[-1.         -4.14295859  2.72532984],107
74,[-1.         -3.80537687  2.56926576],93
75,[-1.         -4.06966661  2.63677462],95
76,[-1.         -4.31554151  2.76147452],107
77,[-1.         -3.756782    2.50729369],87
78,[-1.         -4.01702266  2.70223953],91
79,[-1.         -3.99099943  2.7023238 ],103
80,[-1.         -3.8314001   2.56918149],81
81,[-1.         -3.7032354   2.56706952],93
82,[-1.         -4.18494982  2.74699654],97
83,[-1.         -3.75273292  2.63473067],89
84,[-1.         -4.20552824  2.65871873],109
85,[-1.         -4.11826149  2.69874669],101
86,[-1.         -4.29957352  2.73972354],105
87,[-1.         -4.18494982  2.74699654],97
88,[-1.         -3.80537687  2.56926576],93
89,[-1.         -3.84502964  2.54129183],89
90,[-1.         -4.31554151  2.76147452],107
91,[-1.         -3.64910717  2.45417854],83
92,[-1.         -4.15892659  2.74708081],109
93,[-1.         -4.06966661  2.63677462],95
94,[-1.         -3.8314001   2.56918149],81
95,[-1.         -3.64551325  2.44003568],81
96,[-1.         -3.67811482  2.57284288],95
97,[-1.         -4.29957352  2.73972354],105
98,[-1.         -4.11368667  2.61057774],105
99,[-1.         -3.83120837  2.7542141 ],85
100,[-1.         -4.09090454  2.66599173],101
101,[-1.         -4.31554151  2.76147452],107
102,[-1.         -4.31774522  2.79433834],99
103,[-1.         -4.11826149  2.69874669],101
104,[-1.         -3.98801502  2.58357519],79
105,[-1.         -3.54811302  2.43356188],83
106,[-1.         -3.96199179  2.58365947],91
107,[-1.         -3.89362451  2.6032639 ],95
108,[-1.         -4.00363779  2.70601969],93
109,[-1.         -4.31554151  2.76147452],107
